,customer,gender,income,state,policy_type,customer_lifetime_value,vehicle_class,monthly_premium_auto,total_claim_amount
0,AI49188,F,48767.0,Nevada,Personal Auto,12887.43,Two-Door Car,108.0,566.47
1,GA49547,M,36357.0,Washington,Personal Auto,5363.08,Four-Door Car,68.0,17.27
2,GS98873,F,16061.0,Arizona,Personal Auto,3239.12,Four-Door Car,88.0,633.6
3,CW49887,F,79487.0,California,Special Auto,4626.8,SUV,114.0,547.2
4,MY31220,F,54230.0,California,Personal Auto,8997.04,Two-Door Car,112.0,537.6
5,UH35128,F,71210.0,Oregon,Personal Auto,25807.06,Luxury Car,214.0,1027.2
6,WH52799,F,94903.0,Arizona,Corporate Auto,3808.12,Two-Door Car,94.0,451.2
7,ZL73902,F,25820.0,Nevada,Personal Auto,3265.16,Four-Door Car,82.0,393.6
8,FN77294,M,30366.0,California,Personal Auto,7704.96,SUV,101.0,484.8
9,VI78454,M,51789.0,Arizona,Personal Auto,2750.71,Four-Door Car,70.0,336.0
10,XN62489,M,18608.0,Oregon,Corporate Auto,2538.63,Four-Door Car,71.0,340.8
11,GP66031,F,83758.0,California,Corporate Auto,2585.96,Two-Door Car,64.0,106.59
12,IX68587,F,22886.0,Nevada,Personal Auto,5096.67,Four-Door Car,65.0,312.0
13,HX17929,F,11828.0,California,Personal Auto,10083.49,Four-Door Car,90.0,571.48
14,IC59236,F,44762.0,California,Corporate Auto,4943.39,Four-Door Car,62.0,114.51
15,HP87787,M,82664.0,Arizona,Corporate Auto,8838.09,SUV,114.0,133.43
16,QZ77637,F,84978.0,Washington,Corporate Auto,11665.1,Four-Door Car,72.0,166.77
17,FP11777,M,24164.0,California,Corporate Auto,10972.07,Sports Car,137.0,657.6
18,AX86150,M,62777.0,Washington,Personal Auto,2656.71,Two-Door Car,67.0,101.29
19,MW57614,F,19864.0,Arizona,Personal Auto,2359.42,Four-Door Car,63.0,352.39
20,TJ30081,M,44428.0,Arizona,Personal Auto,12036.62,SUV,104.0,499.2
21,FW44940,F,21139.0,California,Personal Auto,8467.39,Sports Car,113.0,656.8
22,WZ61178,F,11896.0,California,Personal Auto,5227.23,Two-Door Car,69.0,476.25
23,YC67208,M,27972.0,California,Personal Auto,2227.07,Four-Door Car,61.0,292.8
24,IP52990,F,38399.0,Oregon,Personal Auto,16794.31,SUV,106.0,368.89
25,VF73104,F,20868.0,Arizona,Personal Auto,5016.83,Four-Door Car,63.0,134.63
26,OC80343,M,49682.0,Oregon,Personal Auto,7757.92,SUV,101.0,198.84
27,EL89222,F,79090.0,California,Personal Auto,8609.16,SUV,107.0,289.04
28,QB14114,F,81850.0,Oregon,Personal Auto,5275.06,Sports Car,132.0,429.86
29,HM41195,M,22906.0,Arizona,Personal Auto,5746.33,Four-Door Car,76.0,519.88
30,HE15857,M,37138.0,Washington,Personal Auto,6186.27,Two-Door Car,83.0,417.28
31,JC33752,F,21024.0,Oregon,Personal Auto,6277.84,Two-Door Car,82.0,450.13
32,AJ69778,F,77135.0,Oregon,Personal Auto,6514.43,Four-Door Car,84.0,98.37
33,TG69238,F,72845.0,Oregon,Personal Auto,13158.37,SUV,108.0,463.0
34,UI63465,F,51622.0,Oregon,Corporate Auto,2917.54,Four-Door Car,74.0,355.2
35,HA20933,F,15616.0,Oregon,Personal Auto,13269.6,SUV,114.0,547.2
36,JV68002,M,23091.0,Washington,Corporate Auto,5926.73,Four-Door Car,96.0,460.8
37,PU92298,F,22699.0,Arizona,Personal Auto,7956.15,Four-Door Car,74.0,355.2
38,AA16582,M,14072.0,Washington,Personal Auto,24127.5,Four-Door Car,71.0,511.2
39,AZ87715,F,81713.0,California,Personal Auto,26864.2,Four-Door Car,74.0,332.22
40,GI89160,F,56516.0,California,Personal Auto,31934.62,Luxury SUV,199.0,955.2
41,EW86465,M,26747.0,Arizona,Corporate Auto,4759.62,Four-Door Car,61.0,404.07
42,UW70224,F,63422.0,Oregon,Personal Auto,2637.94,Four-Door Car,66.0,355.92
43,LU12532,F,22081.0,California,Personal Auto,6503.4,Two-Door Car,84.0,451.67
44,BH43379,F,29698.0,Oregon,Personal Auto,3147.97,Four-Door Car,83.0,215.88
45,GV59387,F,24518.0,California,Personal Auto,5618.49,Two-Door Car,74.0,241.66
46,LQ76410,M,62873.0,Arizona,Special Auto,3230.58,Four-Door Car,81.0,207.75
